INSPECTION_ID,DBA NAME,FACILITY_TYPE,RISK,RESULTS,NO_VIOLATIONS,VIOLATIONS_ON_MANAGEMENT_AND_SUPERVISION,VIOLATIONS_ON_HYGIENE_AND_FOOD_SECURITY,VIOLATIONS_ON_TEMPERATURE_AND_SPECIAL_PROCEDURES,VIOLATIONS_ON_FOOD_SAFETY_AND_QUALITY,VIOLATIONS_ON_INSTRUMENT_STORAGE_AND_MAINTENANCE,VIOLATIONS_ON_FACILITIES_AND_REGULATIONS,HAS_INSP_SERRIOUS_VIOL,COMMUNITY_AREA,NUM_INSP_AREA,PERC_INS_FAILED_AREA,PERC_INS_PASSED_AREA,PERC_INS_PASSED_COND_AREA,PERC_SERIOUS_VIOLATIONS_FAILED_AREA,IS_HIGH_CRIME_AREA,IS_HIGH_RISK_AREA,IS_LOW_HEALTH_AREA,IS_HIGH_BELOW_POVERTY_LEVEL,IS_LOW_PER_CAPITA_INCOME,IS_HIGH_UNEMPLOYMENT_RATE,AREA_BELOW_POVERTY_LEVEL,AREA_PER_CAPITA_INCOME,AREA_UNEMPLOYMENT,AREA_CRIME_INDEX,AREA_HEALTH_INDEX
2581786,ANTEPLI TURKISH GOURMET,Restaurant,1.0,1,1,0,0,0,0,0,0,0,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2244076,HALA IN,Restaurant,1.0,2,0,1,0,1,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2244169,ALIBABA CAFE,Restaurant,1.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2252894,THE FISHGUY MARKET,Restaurant,1.0,2,0,1,0,1,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2252928,LITTLE CAESARS PIZZA,Restaurant,2.0,2,0,1,0,0,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2261897,Jollibee,Restaurant,1.0,2,0,1,0,1,0,0,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2261922,NOODLES PARTY,Restaurant,1.0,2,0,1,0,1,0,0,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2268510,EL REY DE LA COSTA,Restaurant,1.0,0,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2269173,BRIGHTER MINDS ACADEMY CORP.,Childrens Services Facility,1.0,0,0,1,0,0,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2279503,SEAFOOD CITY SUPERMARKET,Grocery Store,1.0,0,0,1,1,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2279582,GREAT SEA RESTAURANT,Restaurant,1.0,2,0,1,0,0,1,0,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2279823,POPEYES CHICKEN & BISCUITS,Restaurant,1.0,0,0,1,0,0,1,0,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2580370,LAWRENCE GAS & SUPER MINI MART,Restaurant,1.0,0,0,0,0,0,1,1,1,0,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2282768,"LAS DELICIAS LATINAS, INC.",Restaurant,1.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2290238,GOLDEN CRUST PIZZERIA,Restaurant,1.0,0,0,1,1,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2290386,IRAQI KABAB HOUSE,Restaurant,1.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2290424,"LITTLE CREATIVE MINDS CHILD DEVELOPMENT CENTER, IN",Childrens Services Facility,1.0,2,0,0,0,0,0,1,0,0,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2579878,SUNNYSIDE DAYCARE,Childrens Services Facility,1.0,1,0,0,0,0,0,0,1,0,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2293472,"SU NUEVA CASA DEL GALLO BRAVO, INC.",Restaurant,1.0,0,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2293516,NICKS PIT STOP #2,Restaurant,1.0,2,0,1,0,1,1,0,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2293733,FAVORITE CAFE,Restaurant,2.0,2,0,1,0,0,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
