COMMUNITY_AREA,NUM_INSP_AREA,PERC_INS_FAILED_AREA,PERC_INS_PASSED_AREA,PERC_INS_PASSED_COND_AREA,PERC_SERIOUS_VIOLATIONS_FAILED_AREA,IS_HIGH_CRIME_AREA,IS_HIGH_RISK_AREA,IS_LOW_HEALTH_AREA,IS_HIGH_BELOW_POVERTY_LEVEL,IS_LOW_PER_CAPITA_INCOME,IS_HIGH_UNEMPLOYMENT_RATE,AREA_BELOW_POVERTY_LEVEL,AREA_PER_CAPITA_INCOME,AREA_UNEMPLOYMENT,AREA_CRIME_INDEX,AREA_HEALTH_INDEX
lincoln square,240,28.749999999999996,41.66666666666667,29.583333333333332,34.583333333333336,0,0,0,0,0,0,9.5,35503,6.8,5.55,63.900000000000006
woodlawn,66,19.696969696969695,60.60606060606061,19.696969696969695,16.666666666666664,1,1,1,1,1,1,28.3,18928,17.3,28.05,45.4875
west ridge,293,22.866894197952217,44.027303754266214,33.105802047781566,29.692832764505116,0,0,0,0,1,0,15.1,21375,7.9,4.75,64.19999999999999
east side,57,40.35087719298245,38.59649122807017,21.052631578947366,61.40350877192983,0,0,1,1,1,1,18.7,15347,14.5,10.4,56.34375
mckinley park,54,24.074074074074073,57.407407407407405,18.51851851851852,31.48148148148148,0,0,0,0,1,1,16.1,17577,11.9,5.8,58.70625
avalon park,37,40.54054054054054,35.13513513513514,24.324324324324326,54.054054054054056,1,1,1,0,1,1,16.7,23495,16.6,20.3,47.1
irving park,182,30.76923076923077,37.362637362637365,31.868131868131865,41.208791208791204,0,0,0,0,1,0,10.8,26713,10.3,4.9,60.73750000000001
near north side,773,14.877102199223804,53.557567917205695,31.565329883570502,21.216041397153944,0,0,0,0,0,0,13.4,87163,5.2,3.45,70.75
rogers park,196,25.0,44.89795918367347,30.102040816326532,37.755102040816325,0,0,0,1,1,0,22.7,23714,7.5,6.45,60.75625
gage park,126,22.22222222222222,58.730158730158735,19.047619047619047,23.015873015873016,0,0,1,1,1,1,20.8,12014,14.0,10.95,53.425
fuller park,21,19.047619047619047,52.38095238095239,28.57142857142857,23.809523809523807,1,1,1,1,1,1,55.5,9016,40.0,36.1,40.83749999999999
north park,75,30.666666666666664,40.0,29.333333333333332,32.0,0,0,0,0,1,0,12.4,24941,7.5,3.05,67.32500000000002
roseland,110,19.090909090909093,54.54545454545454,26.36363636363636,21.818181818181817,1,1,1,1,1,1,19.5,17974,17.8,39.3,41.48125
chicago lawn,129,26.356589147286826,49.6124031007752,24.031007751937985,31.782945736434108,1,1,1,1,1,1,22.2,14405,11.9,20.9,51.00625
burnside,1,0.0,100.0,0.0,0.0,1,1,1,1,1,1,22.5,13756,23.4,70.3,47.9875
washington park,38,21.052631578947366,60.526315789473685,18.421052631578945,26.31578947368421,1,1,1,1,1,1,39.1,13087,23.2,42.05,41.12500000000001
lower west side,268,19.029850746268657,57.46268656716418,23.507462686567166,25.0,0,0,0,1,1,1,27.2,15467,13.0,11.7,62.55
