Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name
2303432,YASEEN ZABIHA HALAL MEAT AND GROCERS,Grocery Store,2.0,2019-07-19,2,"['3', '5', '10', '40', '41', '47', '47', '49', '51', '55', '57']",WEST RIDGE
2303438,MARIANO'S #8538,Grocery Store,1.0,2019-07-22,2,"['10', '13', '14', '22', '35', '36', '47', '47', '47', '48', '49', '55', '56']",LAKE VIEW
2303446,DOLLOP COFFEE BAR,Restaurant,2.0,2019-07-22,2,"['5', '37', '38', '55']",NEAR NORTH SIDE
2303449,MARCELA'S RESTAURANT ll,Restaurant,1.0,2019-07-22,0,"['3', '5', '10', '33', '36', '37', '38', '38', '38', '39', '51', '53', '54', '55', '56', '57', '58']",LOGAN SQUARE
2303453,BIG JONES,Restaurant,1.0,2019-07-19,2,"['5', '9', '10', '22', '23', '25', '33', '38', '41', '47', '49', '51', '55', '55', '55', '58']",EDGEWATER
2303459,FAMILY DOLLAR #32004,Grocery Store,3.0,2019-07-22,0,"['5', '10', '13', '38', '49', '53', '55', '55', '55']",GREATER GRAND CROSSING
2303467,AFC SUSHI@JEWEL-OSCO #3442,Grocery Store,1.0,2019-07-22,2,"['3', '5', '25', '36', '55']",NORTH PARK
2303481,YUMMY BUFFET,Restaurant,1.0,2019-07-22,0,"['3', '5', '23', '25', '29', '39', '41', '47', '48', '49', '51', '51', '55', '56', '58']",ALBANY PARK
2303482,THE CHEESECAKE FACTORY,Restaurant,1.0,2019-07-22,0,"['10', '16', '37', '38', '38', '39', '44', '49', '51', '52', '55', '55', '55', '56', '56']",NEAR NORTH SIDE
2303487,BELLA NOTTE,Restaurant,1.0,2019-07-22,0,"['3', '5', '10', '22', '23', '25', '33', '36', '49', '55', '55', '56', '58']",WEST TOWN
2303493,FAIRYLAND NURSERY SCHOOL INC,Children's Services Facility,1.0,2019-07-22,0,"['10', '47', '49', '51', '55']",PORTAGE PARK
2303497,NAVEEN'S  CUISINE,Restaurant,1.0,2019-07-22,2,"['3', '5', '10', '38', '39', '47', '47', '48', '53', '55', '55', '55', '55', '58']",WEST TOWN
2303500,SABRI NIHARI,Restaurant,1.0,2019-07-22,2,"['22', '41', '47', '51', '53', '55', '55', '55', '56']",WEST RIDGE
2303519,The Original Pancake House,Restaurant,1.0,2019-07-23,2,"['5', '10', '16', '37', '39', '43', '47', '47', '49', '55', '55', '56']",NEAR NORTH SIDE
2303520,"BELCHI GAS & FOOD,INC.",Grocery Store,3.0,2019-07-23,2,"['5', '33', '36', '39', '39', '47', '49', '55']",UPTOWN
2303546,HAROLD'S THE FRIED WING KING,Restaurant,2.0,2019-07-23,2,"['22', '33', '47', '55', '55', '55', '56', '57']",UPTOWN
2303549,ZEUS GYROS INC,Restaurant,1.0,2019-07-23,2,"['8', '8', '38', '40', '41', '47', '51', '53', '54', '58', '60']",NEAR WEST SIDE
2303551,MOBIL,Grocery Store,1.0,2019-07-23,2,"['3', '5', '10', '23', '36', '37', '47', '53', '55']",ALBANY PARK
2303555,JEWEL FOOD STORE #3455,Grocery Store,1.0,2019-07-23,2,"['10', '10', '10', '15', '36', '45', '47', '48', '49', '51', '55', '55']",UPTOWN
2303560,MILLENNIUM KNICKERBOCKER HOTEL-NIX,Restaurant,1.0,2019-07-23,0,"['10', '10', '16', '38', '39', '49', '55', '55', '55', '55', '60']",NEAR NORTH SIDE
2303580,FIG & OLIVE,Restaurant,1.0,2019-07-23,0,"['51', '59', '60']",NEAR NORTH SIDE
2303588,THE GREAT CHICAGO FOOD BEVERAG,Restaurant,1.0,2019-07-23,1,"['37', '39', '41', '47', '47', '51', '53', '55', '55', '56']",WEST RIDGE
