Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Per Capita Income,Unemployment
2472274,UNICORN AUCTIONS,Liquor,3.0,2021-01-05,2,"['5', '38', '51', '55']",edgewater,77,12.1,48.1,7.5,76.1,7.4,15.1,5.8,18.5,162.0,16.2,48.8,3.9,6.9,40.1,23.7,31.5,308.6,0.9,120.1,427.5,10.5,16.6,3.9,33364,9.0
2472293,TAQUERIA Y RESTAURANT LA PIRI,Restaurant,1.0,2021-01-05,2,"['3', '5', '29', '47', '51', '55', '60']",belmont cragin,19,20.0,88.6,6.9,74.1,7.6,68.2,7.0,14.4,152.6,17.7,58.6,5.5,5.6,37.8,27.3,38.2,421.5,0.8,95.9,140.9,9.4,18.6,10.0,15246,11.5
2472302,"SSYAL GINSENG HOUSE, INC",Restaurant,1.0,2021-01-05,2,"['23', '37', '47', '47', '47', '49', '55', '55']",albany park,14,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1,374.1,1.2,72.9,101.8,16.8,17.1,11.2,20355,9.0
2574571,GUTHRIES TAVERN,Restaurant,2.0,2023-04-19,1,[],lake view,6,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13.0,38.5,1.8,2.2,32.5,17.0,24.4,179.2,0.4,81.8,357.6,3.2,10.5,1.2,58227,4.7
2472338,FRESH MARKET PLACE,Grocery Store,1.0,2021-01-06,0,"['10', '37', '41', '47', '47', '47', '48', '51', '56', '58']",logan square,22,18.2,63.5,7.2,78.2,9.4,66.1,8.6,9.2,148.7,13.7,75.7,10.2,4.3,37.7,17.5,31.9,364.4,0.9,209.0,159.3,8.4,17.2,3.2,29026,7.5
2472365,PETEY'S,Restaurant,1.0,2021-01-06,2,"['3', '5', '35', '53', '57', '60']",fuller park,37,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,489.9,2.5,1061.9,1556.4,0.0,55.5,4.5,9016,40.0
2472379,NORTH AVE FALAFEL,Restaurant,1.0,2021-01-07,0,"['36', '47', '51', '51', '51', '55', '55', '56', '56', '58']",austin,25,18.0,80.1,15.4,72.9,14.3,81.8,34.4,33.7,261.9,29.8,113.9,28.5,13.3,74.6,69.8,56.8,492.3,2.0,1741.1,1678.9,5.8,27.0,5.7,15920,21.0
2472380,CAFE FENIX,Restaurant,2.0,2021-01-07,2,"['5', '51', '53', '55']",avondale,21,18.5,77.7,7.3,74.4,7.5,63.4,4.7,16.6,133.9,13.4,52.7,4.6,5.7,32.5,37.7,36.0,373.3,0.7,85.3,92.2,10.1,14.6,5.8,20489,9.3
2472404,Eurest Dining Services @ Safer Foundation,Restaurant,1.0,2021-01-07,2,"['1', '2', '38', '47', '49', '55', '58']",east garfield park,27,19.4,80.8,17.5,73.2,16.3,93.2,38.4,21.7,236.8,24.8,97.3,37.1,11.0,56.3,78.1,47.5,503.7,0.9,2325.1,1730.2,13.6,39.7,7.5,13596,16.4
2472444,SANDY'S BAKERY & DELI INC,Bakery,1.0,2021-01-08,0,"['22', '29', '32', '37', '38', '38', '49', '55', '55', '55', '57']",portage park,15,14.2,66.1,6.9,79.8,8.7,41.7,3.3,23.3,168.7,15.9,48.2,4.7,4.7,44.9,14.8,37.9,287.3,0.5,87.7,84.9,4.0,12.3,4.4,23617,10.6
